S No., Constraints, Programs, Exec. Time
1,(and (> (+ (+ x x) x) (+ x x)) (> (+ (+ x x) x) (+ x x))),Timeout,170380
2,(and (>= (+ x y) (f y y)) (< (f y y) x)),Timeout,171559
3,(and (< (f y x) (f y x)) (> x (f y x))),Timeout,180219
4,(and (>= (- x x) x) (>= (- x x) x)),Timeout,170559
5,(and (= x (f y y)) (< x x)),Timeout,169608
6,(and (> x x) (> x x)),Timeout,170130
7,(or (> (f y x) x) (< (f y x) x)),Timeout,167606
8,(and (< (f y y) x) (>= x (+ x y))),unknown,167453
9,(or (<= (f y x) (- x x)) (<= (f y x) (- x x))),(define-fun f ((x Int) (y Int)) Int 0),161719
10,(and (= (- (f x y) x) x) (= (- (f x y) x) x)),(define-fun f ((x Int) (y Int)) Int (* 2 x)),144806
11,(or (> (- (f y x) x) (- (f y x) x)) (> (- (f y x) x) (- (f y x) x))),unknown,152229
12,(or (= y (f y y)) (= y y)),(define-fun f ((x Int) (y Int)) Int 0),159644
13,(or (<= (+ y (f y y)) (f y y)) (<= y (+ y (f y y)))),(define-fun f ((x Int) (y Int)) Int 0),165248
14,(or (> (f y y) (f y y)) (> (f y y) (f y y))),unknown,150797
15,(and (<= y x) (<= y x)),unknown,150985
16,(or (> (+ (- (f y y) y) y) (f y y)) (>= y (f y y))),(define-fun f ((x Int) (y Int)) Int x),166720
17,(and (= (f x y) (+ (f x y) y)) (= x (+ (f x y) y))),Timeout,167319
18,(or (<= y x) (< y (f y y))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),160499
19,(and (< (- y x) y) (< (- y x) y)),unknown,151296
20,(and (>= (- x (f x y)) y) (= y (f x y))),unknown,161996
21,(or (> (- x y) (f x y)) (> (f x y) x)),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),164369
22,(or (>= y (+ y (+ y x))) (<= y (f x y))),Timeout,172103
23,(and (>= (f x x) y) (<= (f x x) (f x x))),unknown,163947
