S No., Constraints, Programs, Exec. Time
1452,(and (> (- x x) x) (< (- x x) (- y (- x x)))),unknown,100219
1453,(or (>= y x) (>= y x)),unknown,99806
1454,(and (< x (+ y y)) (< y (+ y y))),unknown,105123
1455,(and (>= x y) (>= x y)),unknown,108813
1456,(or (<= x y) (<= x y)),unknown,107834
1457,(or (<= x y) (<= x y)),unknown,103797
1458,(and (>= (f x x) (- (- (f x x) (f x x)) x)) (>= (f x x) (- (- (f x x) (f x x)) x))),(define-fun f ((x Int) (y Int)) Int (* (- 1) x)),118637
1459,(and (>= (f x y) (f x y)) (< (f x y) (f x y))),unknown,105138
1460,(and (= x (f y x)) (= x (f y x))),(define-fun f ((x Int) (y Int)) Int y),100366
1461,(or (= (f y y) y) (< (f y y) (f y y))),(define-fun f ((x Int) (y Int)) Int x),116140
1462,(or (>= y x) (>= y x)),unknown,103538
1463,(and (<= x y) (> x (+ x x))),unknown,108610
1464,(and (= (f x y) y) (>= y (+ (f x y) (f x y)))),unknown,115928
1465,(or (<= (- x (f x x)) y) (<= (f x x) x)),(define-fun f ((x Int) (y Int)) Int x),114876
1466,(and (<= (f y x) (- (f y x) x)) (<= (f y x) (- (f y x) x))),unknown,107469
1467,(and (>= (- (f x y) (f x y)) (f x y)) (<= (- y y) (- (f x y) (f x y)))),(define-fun f ((x Int) (y Int)) Int 0),112943
1468,(or (> (f x y) y) (> (f x y) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 y)),112320
1469,(or (<= y (- y y)) (>= (f x x) y)),unknown,105845
1470,(and (<= (+ y x) x) (<= (+ y x) x)),unknown,109376
1471,(and (= (f x y) y) (<= x (f x y))),unknown,113096
1472,(or (> (f y y) y) (>= (+ y y) (- (f y y) (f y y)))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),118320
1473,(and (< (f y x) y) (< (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),115611
1474,(and (< (- x y) (- x y)) (< (- x y) (- x y))),unknown,108454
1475,(or (>= (- x (f y x)) y) (<= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int 0),107729
1476,(and (<= (- y x) x) (<= (- y x) x)),unknown,99458
1477,(or (<= (f y x) y) (<= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),116450
1478,(or (= y y) (= y y)),(define-fun f ((x Int) (y Int)) Int 0),105558
1479,(or (= x y) (< (- y x) (f y x))),(define-fun f ((x Int) (y Int)) Int (+ 1 x (* (- 1) y))),114767
1480,(and (< y (f y y)) (> y (f y y))),unknown,113230
1481,(or (>= (- (f x y) x) x) (< (- (f x y) x) (+ (f x y) x))),(define-fun f ((x Int) (y Int)) Int (* 2 x)),109520
1482,(and (<= (- (f x y) y) x) (<= y x)),unknown,111951
1483,(or (< x x) (< x x)),unknown,99519
1484,(and (< (f y y) (+ x x)) (>= y (- y y))),unknown,116578
1485,(or (< (- (f x x) (- (f x x) x)) y) (> (- (f x x) x) (- (f x x) x))),unknown,109667
1486,(or (= (- y y) (f x x)) (< (f x x) y)),(define-fun f ((x Int) (y Int)) Int 0),104136
1487,(or (<= (f x y) (+ y (f x y))) (<= (f x y) (+ y (f x y)))),unknown,106581
1488,(and (= y y) (< y (f x x))),unknown,104763
1489,(or (< (f x y) (f x y)) (< (f x y) (f x y))),unknown,107705
1490,(and (> x (f x x)) (> x (f x x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),110917
1491,(or (= (- x (f x y)) x) (= (- x (f x y)) x)),(define-fun f ((x Int) (y Int)) Int 0),101727
1492,(and (>= (f x x) (f x x)) (> y (+ y x))),unknown,108031
1493,(and (>= y (- (f x x) (f x x))) (<= (- (f x x) (f x x)) x)),unknown,103380
1494,(and (> (f y x) (f y x)) (>= y (f y x))),unknown,108225
1495,(or (= x (- x x)) (= x (- x x))),unknown,110077
1496,(and (> (- (f x x) (+ x (f x x))) (- (f x x) (+ x (f x x)))) (> (- (f x x) (+ x (f x x))) (- (f x x) (+ x (f x x))))),unknown,105077
1497,(and (<= (+ x x) y) (<= x y)),unknown,110596
1498,(or (< x x) (< x x)),unknown,103044
1499,(or (< (+ x x) y) (< (+ x x) y)),unknown,108064
1500,(and (<= (- x (f y x)) x) (<= (- x (f y x)) x)),(define-fun f ((x Int) (y Int)) Int 0),105938
1501,(and (= (+ y (f x y)) (+ x x)) (>= y x)),unknown,110537
1502,(or (> (f x x) (f x x)) (> y (f x x))),unknown,106319
1503,(and (>= x x) (>= x x)),(define-fun f ((x Int) (y Int)) Int 0),107641
1504,(and (<= x x) (= (f y x) (- (f y x) x))),unknown,113196
1505,(and (<= y (f x x)) (< (f x x) x)),unknown,112843
1506,(or (= (f y y) (f y y)) (= (f y y) (f y y))),(define-fun f ((x Int) (y Int)) Int 0),99197
