S No., Constraints, Programs, Exec. Time
2452,(and (>= x x) (<= y x)),unknown,39894
2453,(and (> y y) (> y y)),unknown,38488
2454,(and (< y (- y x)) (>= y (f y x))),unknown,45325
2455,(and (>= (f y y) (f y y)) (>= (f y y) (f y y))),(define-fun f ((x Int) (y Int)) Int 0),41376
2456,(or (= (f y y) (- x x)) (> (f y y) x)),(define-fun f ((x Int) (y Int)) Int 0),40683
2457,(or (> x (- (f x y) y)) (>= y (- y (f x y)))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x y)),41735
2458,(or (<= (f x x) (+ (- x (f x x)) (- x (f x x)))) (< x (f x x))),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),47490
2459,(and (<= y y) (<= (f y x) x)),(define-fun f ((x Int) (y Int)) Int y),44704
2460,(or (> x (+ y (f y y))) (> (f y y) x)),Timeout,122581
2461,(and (< y y) (< y y)),unknown,40642
2462,(or (< y x) (> (f x y) (- x (f x y)))),(define-fun f ((x Int) (y Int)) Int (ite (and (>= x 2) (not (>= (+ x (* (- 1) y)) 1))) (div (+ 2 x) 2) 1)),48858
2463,(or (>= y x) (< y x)),(define-fun f ((x Int) (y Int)) Int 0),45612
2464,(and (> y (+ y (f y y))) (> y (+ y (f y y)))),(define-fun f ((x Int) (y Int)) Int (- 1)),45262
2465,(or (> (f y x) y) (> (f y x) y)),(define-fun f ((x Int) (y Int)) Int (+ 1 x)),45626
2466,(or (<= x x) (<= (- x (f y y)) (f y y))),(define-fun f ((x Int) (y Int)) Int 0),43290
2467,(and (>= (f x x) (- x (- (f x x) y))) (<= (f x x) (f x x))),unknown,44014
2468,(or (> x (- x y)) (<= y (+ (- x y) y))),unknown,41899
2469,(or (< y x) (< y x)),unknown,43073
2470,(and (< y (- x (f y y))) (<= x (- x (f y y)))),unknown,44715
2471,(and (>= y x) (>= y y)),unknown,38129
2472,(and (>= y (f y y)) (>= y (f y y))),(define-fun f ((x Int) (y Int)) Int x),42424
2473,(or (<= (f y x) y) (<= (f y x) y)),(define-fun f ((x Int) (y Int)) Int x),43700
2474,(and (< (f y y) (+ x (f y y))) (< (f y y) (+ x (f y y)))),unknown,42644
2475,(and (= y (f x y)) (= y (f x y))),(define-fun f ((x Int) (y Int)) Int y),41895
2476,(and (< x y) (< x y)),unknown,43018
2477,(or (> y (+ (- x y) (- x y))) (> y (+ (- x y) (- x y)))),unknown,47454
2478,(and (< y (+ (f y y) (+ y y))) (< y (+ (f y y) (+ y y)))),(define-fun f ((x Int) (y Int)) Int (+ 1 (* (- 1) x))),45090
2479,(or (>= (- (f x x) (f x x)) (- (f x x) (f x x))) (> y y)),(define-fun f ((x Int) (y Int)) Int 0),43291
2480,(or (= x (+ (f x x) x)) (< x (+ x (f x x)))),(define-fun f ((x Int) (y Int)) Int 0),49192
2481,(or (= (f x x) y) (= (f x x) y)),unknown,50970
2482,(or (< (f x x) y) (< (f x x) y)),unknown,44107
2483,(and (= (+ (f y y) x) (+ (+ (f y y) x) x)) (= y x)),unknown,44986
2484,(or (>= (f x x) x) (>= (f x x) x)),(define-fun f ((x Int) (y Int)) Int x),44330
2485,(and (> x (f x y)) (> x (f x y))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),49081
2486,(and (>= y x) (>= y x)),unknown,42632
2487,(or (>= (+ y (f y y)) y) (<= x (+ y (f y y)))),(define-fun f ((x Int) (y Int)) Int 0),45215
2488,(or (= (f y y) x) (= (f y y) x)),unknown,71797
2489,(or (>= y (- x (f x x))) (>= y (- x (f x x)))),unknown,45234
2490,(and (>= x (f x y)) (>= x (f x y))),(define-fun f ((x Int) (y Int)) Int x),46912
2491,(or (> y (+ x x)) (>= y (+ x x))),unknown,44116
2492,(or (>= (f x x) (f x x)) (>= (f x x) (f x x))),(define-fun f ((x Int) (y Int)) Int 0),43601
2493,(or (= x x) (>= y x)),(define-fun f ((x Int) (y Int)) Int 0),42942
2494,(or (< (f x x) x) (< (f x x) x)),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x)),44413
2495,(or (> x (+ (- x (f y x)) (f y x))) (> x (+ (- x (f y x)) (f y x)))),unknown,43240
2496,(or (= x y) (>= x (- (f y y) y))),Timeout,121834
2497,(and (<= (- x (f x x)) (- x (f x x))) (<= (- x (f x x)) (- x (f x x)))),(define-fun f ((x Int) (y Int)) Int 0),42360
2498,(or (<= (f y x) (f y x)) (>= x (f y x))),(define-fun f ((x Int) (y Int)) Int 0),42216
2499,(or (> x y) (> x y)),unknown,44210
2500,(and (= y y) (= (f y y) (+ y y))),(define-fun f ((x Int) (y Int)) Int (* 2 x)),46039
2501,(and (<= y (- (f y y) (f y y))) (< y y)),unknown,45481
2502,(or (< (+ (+ (f y x) (f y x)) (+ (f y x) (f y x))) x) (< (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int (div (+ (- 1) y) 4)),47584
2503,(and (> x (- (f y x) x)) (> x (- (f y x) x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) (* 2 y))),45558
2504,(or (<= (f x x) (f x x)) (<= (- y y) x)),(define-fun f ((x Int) (y Int)) Int 0),46532
2505,(or (= y (+ (f x x) x)) (= y (+ (f x x) x))),Timeout,121610
2506,(and (< (f y x) (- y x)) (>= (f y x) (f y x))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x (* (- 1) y))),45442
2507,(or (>= (f y y) x) (< (+ x x) (+ x x))),unknown,43700
2508,(or (>= x (f x x)) (>= x (f x x))),(define-fun f ((x Int) (y Int)) Int x),45951
2509,(and (= y y) (> y y)),unknown,43200
2510,(or (< x (- y (f y x))) (< x (- y (f y x)))),(define-fun f ((x Int) (y Int)) Int (+ (- 1) x (* (- 1) y))),47667
2511,(or (> (+ x x) y) (> (+ x x) y)),unknown,42024
2512,(and (<= x x) (<= x x)),(define-fun f ((x Int) (y Int)) Int 0),40468
2513,(or (<= (f x y) y) (> (+ x y) (+ x y))),(define-fun f ((x Int) (y Int)) Int y),40894
2514,(or (< y (f x x)) (< y (f x x))),unknown,40620
2515,(or (< (+ x y) (+ x y)) (< (+ x y) (+ x y))),unknown,39078
2516,(and (= x x) (>= x (+ (f x x) y))),unknown,40901
2517,(or (<= (f x y) (f x y)) (<= (f x y) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),41463
2518,(or (<= (f y y) (- (f y y) (f y y))) (= x x)),(define-fun f ((x Int) (y Int)) Int 0),48811
2519,(or (= y (f y x)) (= y (f y x))),(define-fun f ((x Int) (y Int)) Int x),50264
2520,(and (< x (- (f y x) (f y x))) (< x (- (f y x) (f y x)))),unknown,47482
2521,(and (>= (- x x) (f x y)) (>= (- x x) (f x y))),(define-fun f ((x Int) (y Int)) Int 0),47415
2522,(and (>= (f y x) (- x y)) (>= (f y x) (- x y))),(define-fun f ((x Int) (y Int)) Int (+ (* (- 1) x) y)),44046
2523,(or (>= (- (f y y) (f y y)) (- (f y y) (f y y))) (>= (- (f y y) (f y y)) (- (f y y) (f y y)))),(define-fun f ((x Int) (y Int)) Int 0),43051
2524,(and (< (- x (f x y)) (- x (f x y))) (< (- x (f x y)) (- x (f x y)))),unknown,43354
